iter	Passed	Remaining
661	1079	551
662	1081	549
663	1082	547
664	1084	546
665	1085	544
666	1086	542
667	1088	541
668	1090	539
669	1092	537
670	1093	536
671	1095	534
672	1096	532
673	1098	531
674	1100	529
675	1101	527
676	1102	526
677	1104	524
678	1106	522
679	1107	521
680	1109	519
681	1110	517
682	1112	516
683	1114	514
684	1115	512
685	1116	511
686	1118	509
687	1120	507
688	1121	506
689	1123	504
690	1125	503
691	1126	501
692	1127	499
693	1129	497
694	1131	496
695	1132	494
696	1134	493
697	1135	491
698	1137	489
699	1139	488
700	1140	486
701	1142	484
702	1143	483
703	1145	481
704	1146	479
705	1148	478
706	1149	476
707	1151	474
708	1153	473
709	1154	471
710	1156	469
711	1158	468
712	1159	466
713	1160	465
714	1162	463
715	1164	462
716	1166	460
717	1167	458
718	1169	456
719	1171	455
720	1172	453
721	1173	452
722	1175	450
723	1176	448
724	1178	447
725	1180	445
726	1181	443
727	1183	442
728	1184	440
729	1186	438
730	1187	437
731	1189	435
732	1191	433
733	1192	432
734	1194	430
735	1195	428
736	1197	427
737	1199	425
738	1200	424
739	1202	422
740	1203	420
741	1205	419
742	1207	417
743	1208	415
744	1210	414
745	1211	412
746	1213	410
747	1214	409
748	1216	407
749	1218	406
750	1219	404
751	1221	402
752	1222	401
753	1224	399
754	1226	397
755	1227	396
756	1229	394
757	1230	392
758	1232	391
759	1233	389
760	1235	388
761	1237	386
762	1239	384
763	1240	383
764	1242	381
765	1243	380
766	1245	378
767	1247	376
768	1248	375
769	1250	373
770	1252	371
771	1253	370
772	1255	368
773	1256	367
774	1258	365
775	1260	363
776	1261	362
777	1263	360
778	1265	358
779	1267	357
780	1269	355
781	1271	354
782	1272	352
783	1274	351
784	1276	349
785	1278	348
786	1280	346
787	1281	344
788	1283	343
789	1285	341
790	1287	340
791	1289	338
792	1291	337
793	1293	335
794	1294	333
795	1296	332
796	1298	330
797	1300	329
798	1301	327
799	1303	325
800	1305	324
801	1307	322
802	1309	321
803	1311	319
804	1313	318
805	1314	316
806	1316	314
807	1318	313
808	1320	311
809	1322	310
810	1324	308
811	1326	307
812	1327	305
813	1330	303
814	1332	302
815	1334	300
816	1335	299
817	1338	297
818	1339	296
819	1341	294
820	1343	292
821	1345	291
822	1347	289
823	1349	288
824	1351	286
825	1353	285
826	1355	283
827	1357	281
